# x	y	u	v	flags	mask
1.6953e+00	6.0305e+01	5.4305e-01	5.5647e-01	0.0000e+00	0.0000e+00
3.0273e+00	6.0305e+01	5.4619e-01	5.0353e-01	0.0000e+00	0.0000e+00
4.3594e+00	6.0305e+01	5.5026e-01	4.8319e-01	0.0000e+00	0.0000e+00
5.6914e+00	6.0305e+01	5.3996e-01	4.8488e-01	0.0000e+00	0.0000e+00
7.0234e+00	6.0305e+01	5.3893e-01	4.6472e-01	0.0000e+00	0.0000e+00
8.3555e+00	6.0305e+01	5.4776e-01	4.2318e-01	0.0000e+00	0.0000e+00
9.6875e+00	6.0305e+01	5.6118e-01	3.8887e-01	0.0000e+00	0.0000e+00
1.1020e+01	6.0305e+01	5.5381e-01	3.8167e-01	0.0000e+00	0.0000e+00
1.2352e+01	6.0305e+01	nan	nan	0.0000e+00	0.0000e+00
1.3684e+01	6.0305e+01	5.4264e-01	3.4215e-01	0.0000e+00	0.0000e+00
1.5016e+01	6.0305e+01	5.5148e-01	2.9069e-01	0.0000e+00	0.0000e+00
1.6348e+01	6.0305e+01	5.5251e-01	2.8511e-01	0.0000e+00	0.0000e+00
1.7680e+01	6.0305e+01	5.5959e-01	2.7973e-01	0.0000e+00	0.0000e+00
1.9012e+01	6.0305e+01	5.5251e-01	2.5343e-01	0.0000e+00	0.0000e+00
2.0344e+01	6.0305e+01	5.4101e-01	2.0687e-01	0.0000e+00	0.0000e+00
2.1676e+01	6.0305e+01	5.5305e-01	1.9196e-01	0.0000e+00	0.0000e+00
2.3008e+01	6.0305e+01	5.4554e-01	1.8178e-01	0.0000e+00	0.0000e+00
2.4340e+01	6.0305e+01	5.4138e-01	1.6015e-01	0.0000e+00	0.0000e+00
2.5672e+01	6.0305e+01	5.5313e-01	1.0838e-01	0.0000e+00	0.0000e+00
2.7004e+01	6.0305e+01	5.5555e-01	9.9787e-02	0.0000e+00	0.0000e+00
2.8336e+01	6.0305e+01	5.5962e-01	9.5931e-02	0.0000e+00	0.0000e+00
2.9668e+01	6.0305e+01	5.3373e-01	6.8281e-02	0.0000e+00	0.0000e+00
3.1000e+01	6.0305e+01	5.5044e-01	2.6616e-02	0.0000e+00	0.0000e+00
3.2332e+01	6.0305e+01	5.3809e-01	4.3359e-03	0.0000e+00	0.0000e+00
3.3664e+01	6.0305e+01	5.5131e-01	-3.1225e-03	0.0000e+00	0.0000e+00
3.4996e+01	6.0305e+01	5.4640e-01	-1.6044e-02	0.0000e+00	0.0000e+00
3.6328e+01	6.0305e+01	5.5891e-01	-6.5864e-02	0.0000e+00	0.0000e+00
3.7660e+01	6.0305e+01	5.5386e-01	-9.1282e-02	0.0000e+00	0.0000e+00
3.8992e+01	6.0305e+01	5.3648e-01	-9.9736e-02	0.0000e+00	0.0000e+00
4.0324e+01	6.0305e+01	5.5197e-01	-1.0213e-01	0.0000e+00	0.0000e+00
4.1656e+01	6.0305e+01	5.5250e-01	-1.4325e-01	0.0000e+00	0.0000e+00
4.2988e+01	6.0305e+01	5.5417e-01	-1.8187e-01	0.0000e+00	0.0000e+00
4.4320e+01	6.0305e+01	5.5491e-01	-1.9499e-01	0.0000e+00	0.0000e+00
4.5652e+01	6.0305e+01	5.4952e-01	-2.0022e-01	0.0000e+00	0.0000e+00
4.6984e+01	6.0305e+01	5.4568e-01	-2.4860e-01	0.0000e+00	0.0000e+00
4.8316e+01	6.0305e+01	5.5762e-01	-2.8121e-01	0.0000e+00	0.0000e+00
4.9648e+01	6.0305e+01	5.5168e-01	-2.8973e-01	0.0000e+00	0.0000e+00
5.0980e+01	6.0305e+01	5.3449e-01	-2.9710e-01	0.0000e+00	0.0000e+00
5.2312e+01	6.0305e+01	5.3771e-01	-3.3299e-01	0.0000e+00	0.0000e+00
5.3645e+01	6.0305e+01	5.4363e-01	-3.7149e-01	0.0000e+00	0.0000e+00
5.4977e+01	6.0305e+01	5.4568e-01	-3.8454e-01	0.0000e+00	0.0000e+00
5.6309e+01	6.0305e+01	5.4181e-01	-3.9335e-01	0.0000e+00	0.0000e+00
5.7641e+01	6.0305e+01	5.3819e-01	-4.2521e-01	0.0000e+00	0.0000e+00
5.8973e+01	6.0305e+01	5.4837e-01	-4.6580e-01	0.0000e+00	0.0000e+00
6.0305e+01	6.0305e+01	5.4976e-01	-4.7849e-01	0.0000e+00	0.0000e+00
1.6953e+00	5.8973e+01	-1.0069e+00	-9.6932e-01	0.0000e+00	0.0000e+00
3.0273e+00	5.8973e+01	5.0672e-01	5.1987e-01	0.0000e+00	0.0000e+00
4.3594e+00	5.8973e+01	5.0119e-01	4.8716e-01	0.0000e+00	0.0000e+00
5.6914e+00	5.8973e+01	5.0208e-01	4.8066e-01	0.0000e+00	0.0000e+00
7.0234e+00	5.8973e+01	4.9813e-01	4.8505e-01	0.0000e+00	0.0000e+00
8.3555e+00	5.8973e+01	5.0582e-01	4.1738e-01	0.0000e+00	0.0000e+00
9.6875e+00	5.8973e+01	5.0956e-01	3.9247e-01	0.0000e+00	0.0000e+00
1.1020e+01	5.8973e+01	5.0252e-01	3.8871e-01	0.0000e+00	0.0000e+00
1.2352e+01	5.8973e+01	4.9495e-01	3.8332e-01	0.0000e+00	0.0000e+00
1.3684e+01	5.8973e+01	5.0851e-01	3.3263e-01	0.0000e+00	0.0000e+00
1.5016e+01	5.8973e+01	4.9549e-01	3.0261e-01	0.0000e+00	0.0000e+00
1.6348e+01	5.8973e+01	4.9618e-01	2.9160e-01	0.0000e+00	0.0000e+00
1.7680e+01	5.8973e+01	4.9036e-01	2.7734e-01	0.0000e+00	0.0000e+00
1.9012e+01	5.8973e+01	5.0866e-01	2.4786e-01	0.0000e+00	0.0000e+00
2.0344e+01	5.8973e+01	4.9911e-01	2.0415e-01	0.0000e+00	0.0000e+00
2.1676e+01	5.8973e+01	5.0542e-01	1.9335e-01	0.0000e+00	0.0000e+00
2.3008e+01	5.8973e+01	4.9986e-01	1.8948e-01	0.0000e+00	0.0000e+00
2.4340e+01	5.8973e+01	5.0599e-01	1.6507e-01	0.0000e+00	0.0000e+00
2.5672e+01	5.8973e+01	5.0949e-01	1.0758e-01	0.0000e+00	0.0000e+00
2.7004e+01	5.8973e+01	5.0102e-01	9.5523e-02	0.0000e+00	0.0000e+00
2.8336e+01	5.8973e+01	4.9486e-01	8.6978e-02	0.0000e+00	0.0000e+00
2.9668e+01	5.8973e+01	4.9757e-01	5.9091e-02	0.0000e+00	0.0000e+00
3.1000e+01	5.8973e+01	5.0601e-01	2.5868e-02	0.0000e+00	0.0000e+00
3.2332e+01	5.8973e+01	4.9296e-01	3.7113e-03	0.0000e+00	0.0000e+00
3.3664e+01	5.8973e+01	5.0240e-01	-4.2769e-03	0.0000e+00	0.0000e+00
3.4996e+01	5.8973e+01	4.9953e-01	-3.0470e-02	0.0000e+00	0.0000e+00
3.6328e+01	5.8973e+01	5.0819e-01	-8.1772e-02	0.0000e+00	0.0000e+00
3.7660e+01	5.8973e+01	4.9064e-01	-9.6245e-02	0.0000e+00	0.0000e+00
3.8992e+01	5.8973e+01	5.0088e-01	-1.0047e-01	0.0000e+00	0.0000e+00
4.0324e+01	5.8973e+01	5.0427e-01	-1.1044e-01	0.0000e+00	0.0000e+00
4.1656e+01	5.8973e+01	5.0984e-01	-1.6217e-01	0.0000e+00	0.0000e+00
4.2988e+01	5.8973e+01	5.0193e-01	-1.8746e-01	0.0000e+00	0.0000e+00
4.4320e+01	5.8973e+01	4.9982e-01	-1.9265e-01	0.0000e+00	0.0000e+00
4.5652e+01	5.8973e+01	4.9634e-01	-1.9643e-01	0.0000e+00	0.0000e+00
4.6984e+01	5.8973e+01	5.0068e-01	-2.2692e-01	0.0000e+00	0.0000e+00
4.8316e+01	5.8973e+01	5.0430e-01	-2.8038e-01	0.0000e+00	0.0000e+00
4.9648e+01	5.8973e+01	5.0643e-01	-2.8354e-01	0.0000e+00	0.0000e+00
5.0980e+01	5.8973e+01	4.9328e-01	-2.9554e-01	0.0000e+00	0.0000e+00
5.2312e+01	5.8973e+01	5.0623e-01	-3.2470e-01	0.0000e+00	0.0000e+00
5.3645e+01	5.8973e+01	5.1024e-01	-3.6926e-01	0.0000e+00	0.0000e+00
5.4977e+01	5.8973e+01	5.0406e-01	-3.7968e-01	0.0000e+00	0.0000e+00
5.6309e+01	5.8973e+01	4.9442e-01	-3.8666e-01	0.0000e+00	0.0000e+00
